Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,
13:56:45,2741907456.00 ,2794250240.00 ,7197274112.00 ,3312074752.00 ,3298799616.00 ,2823876608.00 ,3258470400.00 ,3253870592.00 ,3294306304.00 ,3307003904.00 ,3323031552.00 ,2955284480.00 ,2873937920.00 ,7080525824.00 ,2875965440.00 ,3636232192.00 ,3244707840.00 ,3325587456.00 ,3337138176.00 ,2940915712.00 ,2875633664.00 ,3249713152.00 ,3172220928.00 ,2826719232.00 ,3241570304.00 ,3101499392.00 ,3242954752.00 ,2740338688.00 ,3131023360.00 ,3585785856.00 ,3113717760.00 ,6851153920.00 ,6874292224.00 ,3178201088.00 ,2737082368.00 ,3173093376.00 ,3154608128.00 ,3105878016.00 ,2778501120.00 ,3169193984.00 ,3384528896.00 ,2700992512.00 ,2752335872.00 ,3219783680.00 ,3126517760.00 ,2724134912.00 ,3144126464.00 ,2726543360.00 ,3202052096.00 ,6949277696.00 ,3170574336.00 ,7876620288.00 ,3152887808.00 ,8032563200.00 ,3149832192.00 ,3192680448.00 ,3073536000.00 ,3146506240.00 ,3125743616.00 ,3118104576.00 ,3119824896.00 ,,218267508736.00 
13:57:00,2733707264.00 ,2804154368.00 ,8156340224.00 ,3342671872.00 ,3324223488.00 ,2841014272.00 ,3296100352.00 ,3286913024.00 ,3319496704.00 ,3335114752.00 ,3362250752.00 ,2946383872.00 ,2876252160.00 ,8029106176.00 ,2876936192.00 ,3662716928.00 ,3278938112.00 ,3361648640.00 ,3383537664.00 ,2945208320.00 ,2875478016.00 ,3291181056.00 ,3206692864.00 ,2826125312.00 ,3260928000.00 ,3115376640.00 ,3277549568.00 ,2739265536.00 ,3167096832.00 ,3612299264.00 ,3144298496.00 ,6848765952.00 ,6877773824.00 ,3206971392.00 ,2739904512.00 ,3226980352.00 ,3186196480.00 ,3135451136.00 ,2778234880.00 ,3197026304.00 ,3411619840.00 ,2702602240.00 ,2749816832.00 ,3249111040.00 ,3173199872.00 ,2728685568.00 ,3175215104.00 ,2727936000.00 ,3227058176.00 ,6953914368.00 ,3206680576.00 ,7936057344.00 ,3181838336.00 ,8050589696.00 ,3183910912.00 ,3222417408.00 ,3093663744.00 ,3180630016.00 ,3154812928.00 ,3154501632.00 ,3138859008.00 ,,221479432192.00 
13:57:15,2732875776.00 ,2795954176.00 ,8152408064.00 ,3348299776.00 ,3334098944.00 ,2826244096.00 ,3305271296.00 ,3291811840.00 ,3335360512.00 ,3341074432.00 ,3380097024.00 ,2945486848.00 ,2875645952.00 ,8031059968.00 ,2877034496.00 ,3671764992.00 ,3282477056.00 ,3368009728.00 ,3382157312.00 ,2946379776.00 ,2873348096.00 ,3306450944.00 ,3210108928.00 ,2828722176.00 ,3265486848.00 ,3128287232.00 ,3282018304.00 ,2742353920.00 ,3174305792.00 ,3620884480.00 ,3154288640.00 ,6847995904.00 ,6874517504.00 ,3214336000.00 ,2738520064.00 ,3234504704.00 ,3199524864.00 ,3145854976.00 ,2776436736.00 ,3207475200.00 ,3421040640.00 ,2704908288.00 ,2751586304.00 ,3247796224.00 ,3160735744.00 ,2728751104.00 ,3179233280.00 ,2727792640.00 ,3231338496.00 ,6951997440.00 ,3214422016.00 ,7976837120.00 ,3191025664.00 ,8051040256.00 ,3188748288.00 ,3223715840.00 ,3095330816.00 ,3188756480.00 ,3166535680.00 ,3160207360.00 ,3146002432.00 ,,221756735488.00 
13:57:30,2732093440.00 ,2798862336.00 ,8287121408.00 ,7443685376.00 ,6765264896.00 ,2822635520.00 ,7396864000.00 ,7406505984.00 ,6240927744.00 ,7429898240.00 ,6426284032.00 ,2947112960.00 ,2876162048.00 ,8242790400.00 ,2876960768.00 ,7416770560.00 ,7398162432.00 ,6801334272.00 ,7479799808.00 ,2944151552.00 ,2874855424.00 ,6809231360.00 ,7295442944.00 ,2834014208.00 ,7553912832.00 ,7390048256.00 ,7357300736.00 ,2735517696.00 ,7280967680.00 ,7720308736.00 ,7595737088.00 ,7321976832.00 ,7317250048.00 ,7307362304.00 ,2737455104.00 ,7304753152.00 ,7426502656.00 ,7361417216.00 ,2781741056.00 ,7439159296.00 ,7857496064.00 ,2706059264.00 ,2750582784.00 ,7321665536.00 ,7425662976.00 ,2728005632.00 ,7282343936.00 ,2721480704.00 ,7490715648.00 ,7387062272.00 ,7448371200.00 ,8355348480.00 ,7317061632.00 ,8326610944.00 ,7463837696.00 ,7482175488.00 ,7367684096.00 ,7451856896.00 ,7399825408.00 ,7248592896.00 ,7180898304.00 ,,377891680256.00 
13:57:45,2736857088.00 ,2793062400.00 ,8598724608.00 ,8432558080.00 ,8354709504.00 ,2834710528.00 ,8290430976.00 ,8422486016.00 ,8213716992.00 ,8490430464.00 ,8305696768.00 ,2946985984.00 ,2883739648.00 ,8551768064.00 ,2892681216.00 ,8781451264.00 ,8421339136.00 ,8480133120.00 ,8498532352.00 ,2946293760.00 ,2887782400.00 ,8394022912.00 ,8310579200.00 ,2833235968.00 ,8388505600.00 ,8358354944.00 ,8465195008.00 ,2736066560.00 ,8389632000.00 ,8837103616.00 ,8381988864.00 ,8411983872.00 ,8407990272.00 ,8337330176.00 ,2738585600.00 ,8329187328.00 ,8411541504.00 ,8240308224.00 ,2778484736.00 ,8387850240.00 ,8573480960.00 ,2705461248.00 ,2761400320.00 ,8428171264.00 ,8274186240.00 ,2726858752.00 ,8390569984.00 ,2726277120.00 ,8430153728.00 ,8390799360.00 ,8428490752.00 ,8760619008.00 ,8313737216.00 ,8594194432.00 ,8355856384.00 ,8438644736.00 ,8327057408.00 ,8331665408.00 ,8341221376.00 ,8268034048.00 ,8291467264.00 ,,423760384000.00 
13:58:00,2738130944.00 ,2800312320.00 ,8607424512.00 ,8722112512.00 ,8551751680.00 ,2824720384.00 ,8505929728.00 ,8710017024.00 ,8517287936.00 ,8652320768.00 ,8648560640.00 ,2947162112.00 ,2877595648.00 ,8589983744.00 ,2878996480.00 ,9084121088.00 ,8700862464.00 ,8763076608.00 ,8781107200.00 ,2946928640.00 ,2875162624.00 ,8664743936.00 ,8596443136.00 ,2831970304.00 ,8653504512.00 ,8535842816.00 ,8647561216.00 ,2737373184.00 ,8567214080.00 ,9018081280.00 ,8560779264.00 ,8713596928.00 ,8728895488.00 ,8624340992.00 ,2740490240.00 ,8623235072.00 ,8592637952.00 ,8405528576.00 ,2777526272.00 ,8571469824.00 ,8721674240.00 ,2706329600.00 ,2752454656.00 ,8673804288.00 ,8539410432.00 ,2727260160.00 ,8576065536.00 ,2727235584.00 ,8611905536.00 ,8625762304.00 ,8607948800.00 ,8854564864.00 ,8607428608.00 ,8635408384.00 ,8502722560.00 ,8621658112.00 ,8514342912.00 ,8485605376.00 ,8532369408.00 ,8557047808.00 ,8568791040.00 ,,433464590336.00 
13:58:15,2737987584.00 ,2795094016.00 ,8615305216.00 ,8791932928.00 ,8722882560.00 ,2826452992.00 ,8672002048.00 ,8779653120.00 ,8681512960.00 ,8808243200.00 ,8798257152.00 ,2944823296.00 ,2877652992.00 ,8647454720.00 ,2878590976.00 ,9141608448.00 ,8765956096.00 ,8832950272.00 ,8845455360.00 ,2948411392.00 ,2875101184.00 ,8735772672.00 ,8680169472.00 ,2833256448.00 ,8659439616.00 ,8607584256.00 ,8725827584.00 ,2743156736.00 ,8641269760.00 ,9091518464.00 ,8628080640.00 ,8722771968.00 ,8730087424.00 ,8692301824.00 ,2751770624.00 ,8676880384.00 ,8647385088.00 ,8549523456.00 ,2780098560.00 ,8657354752.00 ,8872919040.00 ,2707951616.00 ,2759856128.00 ,8686923776.00 ,8559828992.00 ,2734620672.00 ,8639868928.00 ,2727358464.00 ,8677855232.00 ,8812466176.00 ,8680599552.00 ,8923693056.00 ,8670085120.00 ,8702353408.00 ,8651829248.00 ,8686362624.00 ,8575737856.00 ,8635637760.00 ,8593719296.00 ,8618668032.00 ,8640450560.00 ,,437100363776.00 
13:58:30,2738466816.00 ,2804822016.00 ,8619425792.00 ,8787873792.00 ,8801742848.00 ,2827223040.00 ,8666480640.00 ,8785948672.00 ,8684691456.00 ,8811941888.00 ,8796450816.00 ,2948030464.00 ,2876739584.00 ,8641843200.00 ,2879184896.00 ,9145368576.00 ,8766574592.00 ,8833601536.00 ,8841359360.00 ,2965454848.00 ,2875736064.00 ,8735281152.00 ,8678498304.00 ,2836832256.00 ,8667918336.00 ,8609587200.00 ,8732213248.00 ,2737659904.00 ,8652382208.00 ,9104203776.00 ,8633167872.00 ,8754249728.00 ,8737722368.00 ,8693772288.00 ,2763591680.00 ,8688095232.00 ,8653582336.00 ,8547532800.00 ,2783723520.00 ,8653955072.00 ,8888819712.00 ,2737758208.00 ,2756952064.00 ,8704958464.00 ,8556167168.00 ,2731921408.00 ,8644845568.00 ,2725527552.00 ,8687857664.00 ,8809005056.00 ,8679104512.00 ,8916873216.00 ,8675356672.00 ,8699400192.00 ,8662253568.00 ,8692011008.00 ,8585973760.00 ,8643321856.00 ,8598392832.00 ,8618926080.00 ,8650772480.00 ,,437429129216.00 
13:58:45,2737123328.00 ,2800136192.00 ,8619073536.00 ,8794341376.00 ,8808321024.00 ,2847469568.00 ,8756416512.00 ,8802828288.00 ,8748355584.00 ,8834371584.00 ,8798515200.00 ,2948210688.00 ,2879885312.00 ,8639066112.00 ,2882064384.00 ,9167179776.00 ,8786219008.00 ,8831107072.00 ,8840622080.00 ,2946998272.00 ,2874322944.00 ,8736927744.00 ,8673898496.00 ,2835210240.00 ,8752111616.00 ,8609374208.00 ,8754999296.00 ,2741776384.00 ,8666271744.00 ,9121517568.00 ,8656293888.00 ,8752640000.00 ,8759115776.00 ,8707256320.00 ,2750492672.00 ,8704847872.00 ,8651026432.00 ,8568778752.00 ,2781528064.00 ,8672272384.00 ,8907067392.00 ,2725879808.00 ,2758340608.00 ,8723066880.00 ,8636448768.00 ,2736922624.00 ,8667418624.00 ,2725117952.00 ,8704200704.00 ,8811835392.00 ,8678129664.00 ,8920203264.00 ,8674086912.00 ,8694059008.00 ,8659668992.00 ,8713068544.00 ,8610332672.00 ,8642867200.00 ,8600248320.00 ,8635543552.00 ,8686166016.00 ,,438149640192.00 
13:59:00,2735865856.00 ,2805440512.00 ,8622899200.00 ,2913755136.00 ,8794148864.00 ,2833227776.00 ,2871635968.00 ,2882678784.00 ,8750751744.00 ,2911666176.00 ,8829820928.00 ,2944180224.00 ,2878296064.00 ,2850992128.00 ,2882625536.00 ,3241861120.00 ,2862206976.00 ,6777987072.00 ,2939023360.00 ,2946592768.00 ,2870845440.00 ,2855489536.00 ,2779021312.00 ,2837467136.00 ,2860097536.00 ,2712690688.00 ,2843967488.00 ,2741129216.00 ,2757906432.00 ,3188916224.00 ,2721878016.00 ,2757353472.00 ,2763710464.00 ,2796761088.00 ,2752335872.00 ,2787028992.00 ,2753404928.00 ,2693910528.00 ,2781433856.00 ,2757246976.00 ,2989920256.00 ,2727985152.00 ,2759540736.00 ,2786865152.00 ,2720669696.00 ,2736754688.00 ,2754891776.00 ,2728435712.00 ,2806943744.00 ,2841923584.00 ,2776485888.00 ,2754011136.00 ,2783961088.00 ,2797035520.00 ,2772639744.00 ,2778411008.00 ,2682482688.00 ,2758299648.00 ,2722639872.00 ,2722115584.00 ,2719113216.00 ,,199409377280.00 
13:59:15,2734358528.00 ,2802323456.00 ,2924670976.00 ,2910437376.00 ,2885787648.00 ,2839916544.00 ,2860154880.00 ,2873065472.00 ,2892832768.00 ,2907893760.00 ,2913538048.00 ,2941947904.00 ,2886275072.00 ,2843275264.00 ,2879660032.00 ,3231756288.00 ,2861453312.00 ,2925789184.00 ,2937475072.00 ,2937929728.00 ,2868727808.00 ,2846420992.00 ,2774818816.00 ,2832990208.00 ,2842607616.00 ,2714161152.00 ,2849009664.00 ,2736893952.00 ,2748817408.00 ,3184713728.00 ,2721632256.00 ,2748465152.00 ,2756673536.00 ,2792374272.00 ,2749124608.00 ,2788945920.00 ,2749763584.00 ,2695860224.00 ,2779213824.00 ,2771800064.00 ,2986840064.00 ,2726047744.00 ,2756304896.00 ,2784256000.00 ,2722701312.00 ,2732462080.00 ,2754486272.00 ,2727030784.00 ,2808672256.00 ,2840600576.00 ,2776162304.00 ,2744487936.00 ,2780733440.00 ,2800693248.00 ,2764541952.00 ,2790731776.00 ,2678513664.00 ,2759073792.00 ,2719862784.00 ,2714886144.00 ,2721030144.00 ,,172033675264.00 
13:59:30,2742697984.00 ,2806362112.00 ,2928107520.00 ,2911399936.00 ,2886762496.00 ,2823274496.00 ,2859651072.00 ,2875269120.00 ,2894704640.00 ,2907250688.00 ,2915766272.00 ,2937507840.00 ,2884837376.00 ,2841305088.00 ,2877521920.00 ,3235504128.00 ,2863046656.00 ,2927845376.00 ,2937839616.00 ,2935472128.00 ,2869837824.00 ,2847330304.00 ,2783068160.00 ,2832515072.00 ,2840076288.00 ,2710908928.00 ,2841415680.00 ,2736787456.00 ,2748485632.00 ,3184660480.00 ,2720317440.00 ,2747633664.00 ,2758483968.00 ,2791313408.00 ,2748227584.00 ,2790506496.00 ,2751836160.00 ,2689269760.00 ,2779213824.00 ,2764894208.00 ,2984488960.00 ,2726576128.00 ,2753826816.00 ,2783928320.00 ,2722455552.00 ,2731552768.00 ,2753572864.00 ,2725507072.00 ,2806771712.00 ,2839126016.00 ,2773696512.00 ,2740547584.00 ,2781159424.00 ,2800009216.00 ,2764316672.00 ,2776608768.00 ,2676269056.00 ,2758508544.00 ,2719404032.00 ,2713382912.00 ,2718756864.00 ,,171979374592.00 
