Time,emr-worker-100/used,emr-worker-101/used,emr-worker-102/used,emr-worker-103/used,emr-worker-104/used,emr-worker-105/used,emr-worker-106/used,emr-worker-107/used,emr-worker-108/used,emr-worker-109/used,emr-worker-110/used,emr-worker-111/used,emr-worker-112/used,emr-worker-113/used,emr-worker-114/used,emr-worker-115/used,emr-worker-116/used,emr-worker-117/used,emr-worker-118/used,emr-worker-119/used,emr-worker-120/used,emr-worker-121/used,emr-worker-61/used,emr-worker-62/used,emr-worker-63/used,emr-worker-64/used,emr-worker-65/used,emr-worker-66/used,emr-worker-67/used,emr-worker-68/used,emr-worker-69/used,emr-worker-70/used,emr-worker-71/used,emr-worker-72/used,emr-worker-73/used,emr-worker-74/used,emr-worker-75/used,emr-worker-76/used,emr-worker-77/used,emr-worker-78/used,emr-worker-79/used,emr-worker-80/used,emr-worker-81/used,emr-worker-82/used,emr-worker-83/used,emr-worker-84/used,emr-worker-85/used,emr-worker-86/used,emr-worker-87/used,emr-worker-88/used,emr-worker-89/used,emr-worker-90/used,emr-worker-91/used,emr-worker-92/used,emr-worker-93/used,emr-worker-94/used,emr-worker-95/used,emr-worker-96/used,emr-worker-97/used,emr-worker-98/used,emr-worker-99/used,,,,,,
12:02:30,2754183168.00 ,2799394816.00 ,2947497984.00 ,2923581440.00 ,2925871104.00 ,2861776896.00 ,2890190848.00 ,2905145344.00 ,2913792000.00 ,2930692096.00 ,2943520768.00 ,2978299904.00 ,2890199040.00 ,2890928128.00 ,2892795904.00 ,3242139648.00 ,2910760960.00 ,2960093184.00 ,2965655552.00 ,2951958528.00 ,2901778432.00 ,2891812864.00 ,2774118400.00 ,2840752128.00 ,2847395840.00 ,2716221440.00 ,2849366016.00 ,2735087616.00 ,2762088448.00 ,3194875904.00 ,2734002176.00 ,2749558784.00 ,2769731584.00 ,2798608384.00 ,2748710912.00 ,2793103360.00 ,2771976192.00 ,2699407360.00 ,2780225536.00 ,2756472832.00 ,2982727680.00 ,2717544448.00 ,2747387904.00 ,2790981632.00 ,2743767040.00 ,2738995200.00 ,2762362880.00 ,2735976448.00 ,2811629568.00 ,2832535552.00 ,2797494272.00 ,2748809216.00 ,2783096832.00 ,2789412864.00 ,2779336704.00 ,2770882560.00 ,2661695488.00 ,2770391040.00 ,2733740032.00 ,2729639936.00 ,2728833024.00 ,,172751011840.00 ,,,,
12:02:45,2752212992.00 ,2797436928.00 ,2947235840.00 ,2924691456.00 ,2926809088.00 ,2870841344.00 ,2887991296.00 ,2906734592.00 ,2931277824.00 ,2930561024.00 ,2945437696.00 ,2976116736.00 ,2905473024.00 ,2892062720.00 ,2891902976.00 ,3239522304.00 ,2910814208.00 ,2960334848.00 ,2964111360.00 ,2951675904.00 ,2901610496.00 ,2889465856.00 ,2774552576.00 ,2839867392.00 ,2864480256.00 ,2719272960.00 ,2850643968.00 ,2754289664.00 ,2752118784.00 ,3192356864.00 ,2736402432.00 ,2750091264.00 ,2767036416.00 ,2799685632.00 ,2750218240.00 ,2796601344.00 ,2771066880.00 ,2701635584.00 ,2779045888.00 ,2758238208.00 ,2986381312.00 ,2722226176.00 ,2748600320.00 ,2791948288.00 ,2740862976.00 ,2742493184.00 ,2762276864.00 ,2739888128.00 ,2813239296.00 ,2834096128.00 ,2795700224.00 ,2754650112.00 ,2782461952.00 ,2789519360.00 ,2779475968.00 ,2769305600.00 ,2677624832.00 ,2770116608.00 ,2733821952.00 ,2730668032.00 ,2727968768.00 ,,172855250944.00 ,,,,
12:03:00,2751926272.00 ,2804645888.00 ,2947411968.00 ,2925694976.00 ,2928009216.00 ,2860093440.00 ,2888867840.00 ,2906275840.00 ,2913853440.00 ,2931494912.00 ,2946895872.00 ,2993102848.00 ,2893381632.00 ,2892619776.00 ,2894393344.00 ,3242803200.00 ,2911084544.00 ,2961358848.00 ,2965516288.00 ,2951565312.00 ,2903453696.00 ,2892132352.00 ,2772803584.00 ,2840559616.00 ,2849996800.00 ,2717081600.00 ,2853441536.00 ,2741239808.00 ,2752163840.00 ,3192016896.00 ,2734264320.00 ,2742517760.00 ,2767990784.00 ,2797600768.00 ,2748805120.00 ,2789380096.00 ,2772258816.00 ,2702503936.00 ,2777321472.00 ,2754953216.00 ,2987364352.00 ,2721263616.00 ,2747973632.00 ,2791141376.00 ,2740498432.00 ,2741428224.00 ,2760560640.00 ,2739085312.00 ,2813743104.00 ,2850512896.00 ,2796118016.00 ,2753617920.00 ,2784186368.00 ,2801475584.00 ,2778390528.00 ,2775728128.00 ,2665021440.00 ,2769879040.00 ,2730455040.00 ,2731110400.00 ,2721714176.00 ,,172814749696.00 ,,,,
12:03:15,2754572288.00 ,2799583232.00 ,2944831488.00 ,2927329280.00 ,2925776896.00 ,2878550016.00 ,2890330112.00 ,2904260608.00 ,2912018432.00 ,2933407744.00 ,2958487552.00 ,2972094464.00 ,2891603968.00 ,2905505792.00 ,2891362304.00 ,3247321088.00 ,2910969856.00 ,2956513280.00 ,2962604032.00 ,2953728000.00 ,2902052864.00 ,2892627968.00 ,2774196224.00 ,2841182208.00 ,2850512896.00 ,2718851072.00 ,2853531648.00 ,2743369728.00 ,2753409024.00 ,3194515456.00 ,2735071232.00 ,2745434112.00 ,2772156416.00 ,2799730688.00 ,2747039744.00 ,2793508864.00 ,2773041152.00 ,2703466496.00 ,2780094464.00 ,2758729728.00 ,2985431040.00 ,2718011392.00 ,2759753728.00 ,2792611840.00 ,2741682176.00 ,2739564544.00 ,2761543680.00 ,2738900992.00 ,2811568128.00 ,2837090304.00 ,2797010944.00 ,2753282048.00 ,2784948224.00 ,2788405248.00 ,2779992064.00 ,2773000192.00 ,2667147264.00 ,2769920000.00 ,2734501888.00 ,2733957120.00 ,2725629952.00 ,,172847325184.00 ,,,,
12:03:30,3139846144.00 ,2804346880.00 ,2954702848.00 ,2926559232.00 ,3300675584.00 ,3241971712.00 ,2889748480.00 ,6927454208.00 ,2915020800.00 ,2931003392.00 ,2953441280.00 ,2978029568.00 ,2890457088.00 ,3296874496.00 ,2893926400.00 ,3246821376.00 ,3324764160.00 ,2975936512.00 ,2965315584.00 ,2953252864.00 ,2905604096.00 ,2903896064.00 ,2773823488.00 ,2841088000.00 ,2847002624.00 ,7314251776.00 ,2849243136.00 ,6860996608.00 ,2748682240.00 ,3194798080.00 ,7059935232.00 ,3192016896.00 ,2771693568.00 ,2799796224.00 ,2746867712.00 ,2794598400.00 ,7052685312.00 ,3177422848.00 ,2779095040.00 ,2759372800.00 ,2982645760.00 ,2720149504.00 ,7010263040.00 ,2785910784.00 ,2738315264.00 ,2738999296.00 ,3223838720.00 ,2737160192.00 ,2811080704.00 ,2836447232.00 ,7082070016.00 ,3236024320.00 ,2782859264.00 ,3272544256.00 ,3231653888.00 ,2774831104.00 ,2660933632.00 ,3214508032.00 ,2734030848.00 ,3156852736.00 ,2726731776.00 ,,208340869120.00 ,,,,
12:03:45,3142713344.00 ,2797625344.00 ,2948608000.00 ,2926096384.00 ,3586756608.00 ,3511324672.00 ,2887593984.00 ,8177012736.00 ,2914656256.00 ,2930843648.00 ,2946633728.00 ,2977615872.00 ,2889023488.00 ,3523448832.00 ,2893864960.00 ,3242577920.00 ,3562348544.00 ,2975821824.00 ,2964402176.00 ,2954321920.00 ,2906677248.00 ,2892148736.00 ,2771124224.00 ,2838192128.00 ,2848964608.00 ,8296001536.00 ,2853560320.00 ,6865113088.00 ,2743508992.00 ,3193085952.00 ,8032337920.00 ,3374907392.00 ,2767560704.00 ,2799296512.00 ,2746556416.00 ,2795085824.00 ,8124379136.00 ,3332628480.00 ,2783948800.00 ,2760572928.00 ,2983800832.00 ,2718769152.00 ,8003248128.00 ,2793824256.00 ,2741452800.00 ,2736603136.00 ,3417059328.00 ,2739036160.00 ,2809049088.00 ,2835972096.00 ,8137695232.00 ,3414691840.00 ,2781761536.00 ,3437006848.00 ,3436675072.00 ,2772377600.00 ,2663460864.00 ,3409657856.00 ,2734252032.00 ,3380092928.00 ,2725568512.00 ,,217150996480.00 ,,,,
12:04:00,3142045696.00 ,2804912128.00 ,2949939200.00 ,2929811456.00 ,3742560256.00 ,3638616064.00 ,2890518528.00 ,8398532608.00 ,2914738176.00 ,2933559296.00 ,2950991872.00 ,2977710080.00 ,2894712832.00 ,3684786176.00 ,2913468416.00 ,3247153152.00 ,3722088448.00 ,2961534976.00 ,2965438464.00 ,2955182080.00 ,2910638080.00 ,2895106048.00 ,2776973312.00 ,2841788416.00 ,2849640448.00 ,8575164416.00 ,2852593664.00 ,6868738048.00 ,2744270848.00 ,3193667584.00 ,8216281088.00 ,3525033984.00 ,2768130048.00 ,2799595520.00 ,2748821504.00 ,2792128512.00 ,8393580544.00 ,3486699520.00 ,2787016704.00 ,2758389760.00 ,2982813696.00 ,2711748608.00 ,8279724032.00 ,2806882304.00 ,2741301248.00 ,2731343872.00 ,3550707712.00 ,2738311168.00 ,2808979456.00 ,2836103168.00 ,8336932864.00 ,3543740416.00 ,2787954688.00 ,3585777664.00 ,3586289664.00 ,2773970944.00 ,2664460288.00 ,3566718976.00 ,2731851776.00 ,3534594048.00 ,2723020800.00 ,,220425785344.00 ,,,,
12:04:15,3661017088.00 ,2814066688.00 ,2951061504.00 ,2938736640.00 ,8409362432.00 ,8346685440.00 ,2889846784.00 ,8719675392.00 ,2914107392.00 ,2933522432.00 ,2945581056.00 ,2973536256.00 ,2893832192.00 ,8383938560.00 ,2895249408.00 ,3242106880.00 ,8412102656.00 ,2958032896.00 ,2967896064.00 ,2956611584.00 ,2901155840.00 ,2893692928.00 ,2778718208.00 ,2840981504.00 ,2851143680.00 ,8974278656.00 ,2850959360.00 ,8319873024.00 ,2744938496.00 ,3191672832.00 ,8906686464.00 ,8425844736.00 ,2768535552.00 ,2799226880.00 ,2752659456.00 ,2794270720.00 ,8792797184.00 ,8384098304.00 ,2786525184.00 ,2762141696.00 ,2982629376.00 ,2711785472.00 ,8907087872.00 ,2795737088.00 ,2741780480.00 ,2731061248.00 ,8449708032.00 ,2740015104.00 ,2810908672.00 ,2835947520.00 ,8740667392.00 ,8435601408.00 ,2788683776.00 ,8476086272.00 ,8468148224.00 ,2772762624.00 ,2664779776.00 ,8452079616.00 ,2734186496.00 ,8284278784.00 ,2738544640.00 ,,282989649920.00 ,,,,
12:04:30,3761725440.00 ,2804031488.00 ,2950754304.00 ,2931621888.00 ,9626791936.00 ,9563295744.00 ,2891464704.00 ,9858080768.00 ,2915536896.00 ,2933919744.00 ,2947489792.00 ,2976854016.00 ,2892800000.00 ,9732608000.00 ,2897211392.00 ,3245821952.00 ,9708109824.00 ,2961637376.00 ,2967306240.00 ,2958753792.00 ,2904809472.00 ,2893307904.00 ,2775920640.00 ,2841034752.00 ,2847522816.00 ,10071539712.00 ,2849710080.00 ,9618284544.00 ,2744348672.00 ,3192692736.00 ,9813958656.00 ,9566449664.00 ,2769018880.00 ,2797109248.00 ,2747691008.00 ,2793660416.00 ,9931108352.00 ,9632165888.00 ,2786537472.00 ,2761027584.00 ,2980773888.00 ,2710843392.00 ,9886273536.00 ,2788171776.00 ,2740768768.00 ,2731765760.00 ,9592938496.00 ,2736160768.00 ,2809012224.00 ,2833563648.00 ,9944199168.00 ,9535119360.00 ,2796634112.00 ,9751855104.00 ,9562996736.00 ,2770882560.00 ,2661343232.00 ,9598386176.00 ,2735628288.00 ,9533173760.00 ,2724048896.00 ,,305288253440.00 ,,,,
12:04:45,3855650816.00 ,2801033216.00 ,2950955008.00 ,2929631232.00 ,10421702656.00 ,10392555520.00 ,2888212480.00 ,10516406272.00 ,2915524608.00 ,2934378496.00 ,2947129344.00 ,2977583104.00 ,2890788864.00 ,10467016704.00 ,2900094976.00 ,3246501888.00 ,10342817792.00 ,2961985536.00 ,2969690112.00 ,2957176832.00 ,2906329088.00 ,2890403840.00 ,2773815296.00 ,2839298048.00 ,2849566720.00 ,10614439936.00 ,2852962304.00 ,10255720448.00 ,2744946688.00 ,3184082944.00 ,10579714048.00 ,10270949376.00 ,2767257600.00 ,2799124480.00 ,2746044416.00 ,2792919040.00 ,10469941248.00 ,10230657024.00 ,2784178176.00 ,2769305600.00 ,2982088704.00 ,2710056960.00 ,10366517248.00 ,2793619456.00 ,2741927936.00 ,2729709568.00 ,10189750272.00 ,2737758208.00 ,2808774656.00 ,2833920000.00 ,10533097472.00 ,10214699008.00 ,2787631104.00 ,10330050560.00 ,10216882176.00 ,2770624512.00 ,2664165376.00 ,10303590400.00 ,2733006848.00 ,10263150592.00 ,2726375424.00 ,,317825888256.00 ,,,,
12:05:00,3951570944.00 ,2803912704.00 ,2952167424.00 ,2930569216.00 ,10662948864.00 ,10658709504.00 ,2891374592.00 ,10700902400.00 ,2917031936.00 ,2935644160.00 ,2948636672.00 ,2981044224.00 ,2891759616.00 ,10676359168.00 ,2898567168.00 ,3248226304.00 ,10583691264.00 ,2964504576.00 ,2972467200.00 ,2959282176.00 ,2905640960.00 ,2892521472.00 ,2774441984.00 ,2846793728.00 ,2848772096.00 ,10806685696.00 ,2852737024.00 ,10459783168.00 ,2744926208.00 ,3183280128.00 ,10830843904.00 ,10469199872.00 ,2768723968.00 ,2797932544.00 ,2747486208.00 ,2789847040.00 ,10621509632.00 ,10387869696.00 ,2785857536.00 ,2757029888.00 ,2983108608.00 ,2710757376.00 ,10423668736.00 ,2792259584.00 ,2741874688.00 ,2733473792.00 ,10432655360.00 ,2736730112.00 ,2809765888.00 ,2833719296.00 ,10800693248.00 ,10360651776.00 ,2789371904.00 ,10499207168.00 ,10475069440.00 ,2772971520.00 ,2664898560.00 ,10585341952.00 ,2731855872.00 ,10471776256.00 ,2721910784.00 ,,321873014784.00 ,,,,
12:05:15,4092907520.00 ,2798710784.00 ,2952015872.00 ,2929102848.00 ,10660511744.00 ,10677923840.00 ,2890493952.00 ,10691399680.00 ,2913730560.00 ,2934820864.00 ,2947534848.00 ,2976628736.00 ,2896257024.00 ,10686410752.00 ,2896076800.00 ,3246264320.00 ,10581782528.00 ,2963116032.00 ,2972987392.00 ,2958766080.00 ,2905145344.00 ,2892828672.00 ,2781315072.00 ,2841436160.00 ,2848751616.00 ,10809569280.00 ,2853605376.00 ,10448445440.00 ,2745843712.00 ,3183755264.00 ,10855243776.00 ,10478276608.00 ,2768486400.00 ,2798612480.00 ,2747568128.00 ,2794119168.00 ,10606161920.00 ,10400059392.00 ,2787770368.00 ,2760105984.00 ,2984579072.00 ,2712739840.00 ,10425782272.00 ,2798276608.00 ,2750242816.00 ,2731225088.00 ,10425008128.00 ,2738872320.00 ,2809380864.00 ,2836647936.00 ,10811846656.00 ,10362265600.00 ,2790739968.00 ,10507067392.00 ,10469416960.00 ,2771705856.00 ,2664247296.00 ,10595135488.00 ,2735734784.00 ,10460860416.00 ,2724642816.00 ,,322080960512.00 ,,,,
