
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-87.cluster-332954:37659, nodeAddress emr-worker-87.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-88.cluster-332954:36293, nodeAddress emr-worker-88.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-100.cluster-332954:39682, nodeAddress emr-worker-100.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-89.cluster-332954:42102, nodeAddress emr-worker-89.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-57.cluster-332954:38219, nodeAddress emr-worker-57.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-63.cluster-332954:41268, nodeAddress emr-worker-63.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-56.cluster-332954:44671, nodeAddress emr-worker-56.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-19.cluster-332954:42845, nodeAddress emr-worker-19.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-5.cluster-332954:35955, nodeAddress emr-worker-5.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-93.cluster-332954:45086, nodeAddress emr-worker-93.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-18.cluster-332954:43218, nodeAddress emr-worker-18.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-8.cluster-332954:35784, nodeAddress emr-worker-8.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-111.cluster-332954:39162, nodeAddress emr-worker-111.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-135.cluster-332954:41666, nodeAddress emr-worker-135.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-96.cluster-332954:34472, nodeAddress emr-worker-96.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
22/08/27 12:03:26 INFO yarn.GiraphYarnClient: Got node report from ASM for, nodeId=emr-worker-144.cluster-332954:43823, nodeAddress emr-worker-144.cluster-332954:8042, nodeRackName /default-rack, nodeNumContainers 0
